date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:35:08	5098/5098	---M--	200	added ('OK')	image/png	etag:%2261a53438-57e8%22	https://www.roboticssummit.com/wp-content/uploads/2021/10/RoboticsSummitExpo_logo_WHITE.png	C:/My%20Web%20Sites/boston_expo/www.roboticssummit.com/wp-content/uploads/2021/10/RoboticsSummitExpo_logo_WHITE.png	(from https://www.roboticssummit.com/)
00:35:10	84000/84000	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20Apr%202022%2004:35:08%20GMT	https://www.roboticssummit.com/about/	C:/My%20Web%20Sites/boston_expo/www.roboticssummit.com/about/index.html	(from https://www.roboticssummit.com/)
00:35:12	81189/81189	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20Apr%202022%2004:35:08%20GMT	https://www.roboticssummit.com/why-attend/	C:/My%20Web%20Sites/boston_expo/www.roboticssummit.com/why-attend/index.html	(from https://www.roboticssummit.com/)
00:35:12	93243/93243	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20Apr%202022%2004:35:10%20GMT	https://www.roboticssummit.com/receive-show-announcements/	C:/My%20Web%20Sites/boston_expo/www.roboticssummit.com/receive-show-announcements/index.html	(from https://www.roboticssummit.com/)
00:35:15	89796/89796	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20Apr%202022%2004:35:12%20GMT	https://www.roboticssummit.com/contact-us/	C:/My%20Web%20Sites/boston_expo/www.roboticssummit.com/contact-us/index.html	(from https://www.roboticssummit.com/)
00:35:17	139267/139267	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20Apr%202022%2004:35:15%20GMT	https://www.roboticssummit.com/robotics-summit-2019/	C:/My%20Web%20Sites/boston_expo/www.roboticssummit.com/robotics-summit-2019/index.html	(from https://www.roboticssummit.com/)
00:36:09	345986/345986	---M--	200	added ('OK')	image/png	etag:%2261a53438-54782%22	http://www.roboticssummit.com/wp-content/uploads/2021/11/RSE21-date-badge.png	C:/My%20Web%20Sites/boston_expo/www.roboticssummit.com/wp-content/uploads/2021/11/RSE21-date-badge.png	(from https://www.roboticssummit.com/)
00:36:11	116441/116441	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20Apr%202022%2004:36:09%20GMT	https://www.roboticssummit.com/robotics-summit-2018/	C:/My%20Web%20Sites/boston_expo/www.roboticssummit.com/robotics-summit-2018/index.html	(from https://www.roboticssummit.com/)
00:36:43	535301/535301	---M--	200	added ('OK')	image/png	etag:%2261a53438-82b05%22	http://www.roboticssummit.com/wp-content/uploads/2021/11/DT-badge.png	C:/My%20Web%20Sites/boston_expo/www.roboticssummit.com/wp-content/uploads/2021/11/DT-badge.png	(from https://www.roboticssummit.com/)
00:36:45	146700/146700	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20Apr%202022%2004:36:42%20GMT	https://www.roboticssummit.com/agenda/	C:/My%20Web%20Sites/boston_expo/www.roboticssummit.com/agenda/index.html	(from https://www.roboticssummit.com/)
00:37:13	763775/763775	---M--	200	added ('OK')	image/png	etag:%2261a53438-ba77f%22	http://www.roboticssummit.com/wp-content/uploads/2021/11/RSE21-logo.png	C:/My%20Web%20Sites/boston_expo/www.roboticssummit.com/wp-content/uploads/2021/11/RSE21-logo.png	(from https://www.roboticssummit.com/)
00:37:15	78332/78332	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20Apr%202022%2004:37:13%20GMT	https://www.roboticssummit.com/faqs/	C:/My%20Web%20Sites/boston_expo/www.roboticssummit.com/faqs/index.html	(from https://www.roboticssummit.com/)
00:37:16	176317/176317	---M--	200	added ('OK')	image/png	etag:%22624c7245-2b568%22	https://www.roboticssummit.com/wp-content/uploads/2021/10/kevin-blankespoor-500x500.png	C:/My%20Web%20Sites/boston_expo/www.roboticssummit.com/wp-content/uploads/2021/10/kevin-blankespoor-500x500.png	(from https://www.roboticssummit.com/)
00:37:18	79449/79449	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20Apr%202022%2004:37:16%20GMT	https://www.roboticssummit.com/pricing/	C:/My%20Web%20Sites/boston_expo/www.roboticssummit.com/pricing/index.html	(from https://www.roboticssummit.com/)
00:37:23	34824/34824	---M--	200	added ('OK')	image/jpeg	etag:%2261b8b4ca-cc91%22	https://www.roboticssummit.com/wp-content/uploads/2021/12/brian-gerkey-500x500.jpg	C:/My%20Web%20Sites/boston_expo/www.roboticssummit.com/wp-content/uploads/2021/12/brian-gerkey-500x500.jpg	(from https://www.roboticssummit.com/)
00:37:24	96452/96452	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20Apr%202022%2004:37:22%20GMT	https://www.roboticssummit.com/speakers/	C:/My%20Web%20Sites/boston_expo/www.roboticssummit.com/speakers/index.html	(from https://www.roboticssummit.com/)
00:37:31	33577/33577	---M--	200	added ('OK')	image/jpeg	etag:%226217d86e-a7ef%22	https://www.roboticssummit.com/wp-content/uploads/2022/02/jon-hirschtick-500x500.jpg	C:/My%20Web%20Sites/boston_expo/www.roboticssummit.com/wp-content/uploads/2022/02/jon-hirschtick-500x500.jpg	(from https://www.roboticssummit.com/)
00:37:33	83732/83732	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20Apr%202022%2004:37:30%20GMT	https://www.roboticssummit.com/tracks/	C:/My%20Web%20Sites/boston_expo/www.roboticssummit.com/tracks/index.html	(from https://www.roboticssummit.com/)
00:37:41	591804/591804	---M--	200	added ('OK')	image/jpeg	etag:%2261a53439-a0320%22	https://www.roboticssummit.com/wp-content/uploads/2018/07/P1011679.jpg	C:/My%20Web%20Sites/boston_expo/www.roboticssummit.com/wp-content/uploads/2018/07/P1011679.jpg	(from https://www.roboticssummit.com/)
00:37:43	87223/87223	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20Apr%202022%2004:37:41%20GMT	https://www.roboticssummit.com/travel/	C:/My%20Web%20Sites/boston_expo/www.roboticssummit.com/travel/index.html	(from https://www.roboticssummit.com/)
00:37:56	64621/64621	---M--	200	added ('OK')	image/jpeg	etag:%2261e86695-1553a%22	https://www.roboticssummit.com/wp-content/uploads/2022/01/melonee-wise-500x500.jpg	C:/My%20Web%20Sites/boston_expo/www.roboticssummit.com/wp-content/uploads/2022/01/melonee-wise-500x500.jpg	(from https://www.roboticssummit.com/)
00:37:59	118362/118362	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20Apr%202022%2004:37:56%20GMT	https://www.roboticssummit.com/sponsors/	C:/My%20Web%20Sites/boston_expo/www.roboticssummit.com/sponsors/index.html	(from https://www.roboticssummit.com/)
00:38:02	186431/186431	---M--	200	added ('OK')	image/png	etag:%22624c740c-2da0f%22	https://www.roboticssummit.com/wp-content/uploads/2021/10/greg-smith-500x500.png	C:/My%20Web%20Sites/boston_expo/www.roboticssummit.com/wp-content/uploads/2021/10/greg-smith-500x500.png	(from https://www.roboticssummit.com/)
